aaaa,regiao,uf_codigo,populacao,uf_nome,uf
2024-01-01,Norte,16,802837,Amapá,AP
2024-01-01,Nordeste,23,9233656,Ceará,CE
2024-01-01,Norte,15,8664306,Pará,PA
2024-01-01,Norte,11,1746227,Rondônia,RO
2024-01-01,Sudeste,35,45973194,São Paulo,SP
2024-01-01,Sudeste,33,17219679,Rio de Janeiro,RJ
2024-01-01,Centro-Oeste,51,3836399,Mato Grosso,MT
2024-01-01,Centro-Oeste,50,2901895,Mato Grosso do Sul,MS
2024-01-01,Nordeste,27,3220104,Alagoas,AL
2024-01-01,Nordeste,24,3446071,Rio Grande do Norte,RN
2024-01-01,Sul,41,11824665,Paraná,PR
2024-01-01,Centro-Oeste,53,2982818,Distrito Federal,DF
2024-01-01,Sudeste,32,4102129,Espírito Santo,ES
2024-01-01,Nordeste,21,7010960,Maranhão,MA
2024-01-01,Sudeste,31,21322691,Minas Gerais,MG
2024-01-01,Nordeste,25,4145040,Paraíba,PB
2024-01-01,Centro-Oeste,52,7350483,Goiás,GO
2024-01-01,Norte,13,4281209,Amazonas,AM
2024-01-01,Norte,17,1577342,Tocantins,TO
2024-01-01,Norte,12,880631,Acre,AC
2024-01-01,Nordeste,28,2291077,Sergipe,SE
2024-01-01,Nordeste,22,3375646,Piauí,PI
2024-01-01,Norte,14,716793,Roraima,RR
2024-01-01,Nordeste,26,9539029,Pernambuco,PE
2024-01-01,Sul,42,8058441,Santa Catarina,SC
2024-01-01,Nordeste,29,14850513,Bahia,BA
2024-01-01,Sul,43,11229915,Rio Grande do Sul,RS
