aaaa,regiao,populacao
2001-01-01,Sul,25453264
2001-01-01,Norte,13245084
2001-01-01,Sudeste,73470763
2001-01-01,Nordeste,48331186
2001-01-01,Centro-Oeste,11885529
2002-01-01,Centro-Oeste,12101540
2002-01-01,Sul,25734253
2002-01-01,Norte,13504599
2002-01-01,Sudeste,74447456
2002-01-01,Nordeste,48845112
2003-01-01,Centro-Oeste,12317271
2003-01-01,Sudeste,75391969
2003-01-01,Nordeste,49352225
2003-01-01,Norte,13784881
2003-01-01,Sul,26025091
2004-01-01,Sudeste,77374720
2004-01-01,Centro-Oeste,12770141
2004-01-01,Sul,26635629
2004-01-01,Norte,14373260
2004-01-01,Nordeste,50427274
2005-01-01,Norte,14698878
2005-01-01,Nordeste,51019091
2005-01-01,Centro-Oeste,13020767
2005-01-01,Sul,26973511
2005-01-01,Sudeste,78472017
2006-01-01,Centro-Oeste,13269517
2006-01-01,Sul,27308863
2006-01-01,Norte,15022060
2006-01-01,Sudeste,79561095
2006-01-01,Nordeste,51609027
2007-01-01,Sudeste,79873978
2007-01-01,Norte,15082249
2007-01-01,Nordeste,52344413
2007-01-01,Centro-Oeste,13482624
2007-01-01,Sul,27403134
2008-01-01,Nordeste,53088496
2008-01-01,Norte,15142686
2008-01-01,Sudeste,80187706
2008-01-01,Centro-Oeste,13695949
2008-01-01,Sul,27497986
2009-01-01,Norte,15359608
2009-01-01,Sudeste,80915332
2009-01-01,Centro-Oeste,13895375
2009-01-01,Sul,27719118
2009-01-01,Nordeste,53591197
2010-01-01,Sul,27640467
2010-01-01,Nordeste,53546083
2010-01-01,Centro-Oeste,14069663
2010-01-01,Norte,15727287
2010-01-01,Sudeste,80945047
2011-01-01,Sul,27562433
2011-01-01,Sudeste,80975616
2011-01-01,Centro-Oeste,14244192
2011-01-01,Nordeste,53501859
2011-01-01,Norte,16095187
2012-01-01,Norte,16318163
2012-01-01,Centro-Oeste,14423952
2012-01-01,Nordeste,53907144
2012-01-01,Sul,27731644
2012-01-01,Sudeste,81565983
2013-01-01,Sudeste,84465570
2013-01-01,Sul,28795762
2013-01-01,Centro-Oeste,14993191
2013-01-01,Nordeste,55794707
2013-01-01,Norte,16983484
2014-01-01,Sul,29016114
2014-01-01,Sudeste,85115623
2014-01-01,Nordeste,56186190
2014-01-01,Centro-Oeste,15219608
2014-01-01,Norte,17231027
2015-01-01,Sudeste,85745520
2015-01-01,Nordeste,56559481
2015-01-01,Norte,17472636
2015-01-01,Centro-Oeste,15442232
2015-01-01,Sul,29230180
2016-01-01,Nordeste,56915936
2016-01-01,Centro-Oeste,15660988
2016-01-01,Norte,17707783
2016-01-01,Sudeste,86356952
2016-01-01,Sul,29439773
2017-01-01,Sul,29644948
2017-01-01,Nordeste,57254159
2017-01-01,Norte,17936201
2017-01-01,Sudeste,86949714
2017-01-01,Centro-Oeste,15875907
2018-01-01,Sul,29754036
2018-01-01,Centro-Oeste,16085885
2018-01-01,Norte,18182253
2018-01-01,Nordeste,56760780
2018-01-01,Sudeste,87711946
2019-01-01,Sul,29975984
2019-01-01,Nordeste,57071654
2019-01-01,Centro-Oeste,16297074
2019-01-01,Norte,18430980
2019-01-01,Sudeste,88371433
2020-01-01,Sudeste,89012240
2020-01-01,Sul,30192315
2020-01-01,Centro-Oeste,16504303
2020-01-01,Nordeste,57374243
2020-01-01,Norte,18672591
2021-01-01,Norte,18906962
2021-01-01,Sul,30402587
2021-01-01,Nordeste,57667842
2021-01-01,Centro-Oeste,16707336
2021-01-01,Sudeste,89632912
2022-01-01,Centro-Oeste,16828595
2022-01-01,Sudeste,89293955
2022-01-01,Norte,18827613
2022-01-01,Sul,30639021
2022-01-01,Nordeste,57481995
2023-01-01,Sudeste,88955562
2023-01-01,Norte,18748406
2023-01-01,Nordeste,57296764
2023-01-01,Sul,30875822
2023-01-01,Centro-Oeste,16950018
2024-01-01,Nordeste,57112096
2024-01-01,Sul,31113021
2024-01-01,Centro-Oeste,17071595
2024-01-01,Sudeste,88617693
2024-01-01,Norte,18669345
