Ano,populacao
2001-01-01,172385826
2002-01-01,174632960
2003-01-01,176871437
2004-01-01,181581024
2005-01-01,184184264
2006-01-01,186770562
2007-01-01,188186398
2008-01-01,189612823
2009-01-01,191480630
2010-01-01,191928547
2011-01-01,192379287
2012-01-01,193946886
2013-01-01,201032714
2014-01-01,202768562
2015-01-01,204450049
2016-01-01,206081432
2017-01-01,207660929
2018-01-01,208494900
2019-01-01,210147125
2020-01-01,211755692
2021-01-01,213317639
2022-01-01,213071179
2023-01-01,212826572
2024-01-01,212583750
